pipeline,model,runs_total,wellformed_rate,satisfiable_rate,semantic_precision_n,semantic_precision_mean,semantic_precision_sd,semantic_precision_ci95_half,semantic_recall_n,semantic_recall_mean,semantic_recall_sd,semantic_recall_ci95_half,semantic_f1_n,semantic_f1_mean,semantic_f1_sd,semantic_f1_ci95_half,coverage_score_n,coverage_score_mean,coverage_score_sd,coverage_score_ci95_half,llm_duration_seconds_n,llm_duration_seconds_mean,llm_duration_seconds_sd,llm_duration_seconds_ci95_half,dead_features_count_n,dead_features_count_mean,dead_features_count_sd,dead_features_count_ci95_half,core_features_count_n,core_features_count_mean,core_features_count_sd,core_features_count_ci95_half,edge_jaccard_to_gt_n,edge_jaccard_to_gt_mean,edge_jaccard_to_gt_sd,edge_jaccard_to_gt_ci95_half,parent_match_rate_n,parent_match_rate_mean,parent_match_rate_sd,parent_match_rate_ci95_half
is_nonrag,deepseek-v3.2:cloud,11,0.9091,1.0,10,0.762,0.035,0.0217,10,0.7069,0.0521,0.0323,10,0.7327,0.0387,0.024,10,45.436,3.9296,2.4356,11,4373.8284,1772.1452,1047.2709,10,0.7,1.8886,1.1705,10,5.8,7.1926,4.458,10,0.0083,0.0012,0.0007,10,0.71,0.0775,0.048
is_nonrag,gemini-3.1-pro-preview,5,1.0,1.0,5,0.733,0.0186,0.0163,5,0.78,0.0291,0.0255,5,0.7556,0.0208,0.0183,5,49.214,2.3932,2.0978,5,857.9941,51.4736,45.1186,5,0.0,0.0,0.0,5,1.0,0.0,0.0,5,0.0115,0.0016,0.0014,5,0.7,0.1414,0.124
is_nonrag,glm-4.7:cloud,10,1.0,1.0,10,0.7446,0.0221,0.0137,10,0.8392,0.023,0.0143,10,0.7889,0.0187,0.0116,10,57.694,2.1102,1.3079,10,6464.0022,1249.6897,774.5657,10,0.0,0.0,0.0,10,9.7,13.1745,8.1656,10,0.0071,0.0012,0.0007,10,0.5338,0.1141,0.0707
is_nonrag,gpt-4.1,11,1.0,1.0,11,0.8093,0.0657,0.0388,11,0.4692,0.1171,0.0692,11,0.5826,0.0811,0.0479,11,27.1855,7.914,4.6769,11,1288.5095,238.8604,141.1575,11,0.0,0.0,0.0,11,1.0,0.0,0.0,11,0.0092,0.0089,0.0053,11,0.3818,0.3696,0.2184
is_nonrag,gpt-oss:120b-cloud,22,0.8636,1.0,20,0.7934,0.0432,0.0189,20,0.4912,0.1451,0.0636,20,0.5931,0.1107,0.0485,20,28.933,11.9525,5.2384,22,1491.0441,828.3556,346.1478,19,0.0,0.0,0.0,19,1.0,0.0,0.0,20,0.0126,0.007,0.0031,20,0.5484,0.2771,0.1215
is_rag,deepseek-v3.2:cloud,25,0.88,1.0,22,0.7638,0.025,0.0105,22,0.6612,0.0347,0.0145,22,0.7081,0.0229,0.0096,22,40.0623,2.1969,0.918,25,2891.4674,1058.7644,415.0356,22,0.0,0.0,0.0,22,5.4091,7.3592,3.0752,22,0.011,0.0011,0.0004,22,0.7205,0.0684,0.0286
is_rag,gemini-3.1-pro-preview,5,1.0,1.0,5,0.7831,0.0262,0.0229,5,0.6831,0.0333,0.0292,5,0.7288,0.0115,0.01,5,42.728,3.1862,2.7928,5,566.8306,52.6243,46.1272,5,0.0,0.0,0.0,5,5.4,6.6558,5.8341,5,0.0147,0.0019,0.0017,5,0.79,0.0224,0.0196
is_rag,glm-4.7:cloud,23,0.8696,1.0,22,0.7701,0.0292,0.0122,22,0.7458,0.037,0.0154,22,0.7569,0.0212,0.0089,22,47.6641,3.1403,1.3122,23,4074.4201,1446.2064,591.0476,20,0.0,0.0,0.0,20,1.2,0.8944,0.392,22,0.0096,0.0013,0.0005,22,0.7366,0.0705,0.0295
is_rag,gpt-4.1,10,1.0,1.0,10,0.8107,0.0199,0.0123,10,0.5654,0.0244,0.0151,10,0.6658,0.0164,0.0101,10,36.916,1.4436,0.8947,10,770.919,155.3664,96.2971,10,0.0,0.0,0.0,10,1.0,0.0,0.0,10,0.0154,0.0013,0.0008,10,0.795,0.0158,0.0098
is_rag,gpt-oss:120b-cloud,23,0.8696,1.0,21,0.7889,0.036,0.0154,21,0.6421,0.122,0.0522,21,0.6998,0.0855,0.0366,21,43.7162,10.1064,4.3226,23,1462.9085,900.1088,367.8639,20,0.0,0.0,0.0,20,1.0,0.0,0.0,21,0.0155,0.0082,0.0035,21,0.5205,0.2227,0.0952
