pipeline,run_id,model,domain,root_feature,collection_mode,llm_host,meta_file,fm_xml,num_sources,num_chunks_total,num_evidence_chunks,context_chars,llm_duration_seconds,wellformed_ok,wellformed_error_count,satisfiable,dead_features_count,core_features_count,coverage_score,semantic_precision,semantic_recall,semantic_f1,feature_count,abstract_feature_count,concrete_feature_count,missing_feature_count,extra_feature_count,missing_feature_ratio,extra_feature_ratio,edge_jaccard_to_gt,parent_match_rate,sat_error,coverage_error,feature_extract_error
is_nonrag,is_nonrag_response_deepseek-v3.2-cloud_2026-02-10T07-34-42,deepseek-v3.2:cloud,Model Driven Engineering,Model Federation,context_conditioned,https://ollama.com,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_deepseek-v3.2-cloud_2026-02-10T07-34-42.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_deepseek-v3.2-cloud_2026-02-10T07-34-42.final.xml,14,,,,3344.989188194275,False,1,,,,,,,,,,,,,,,,,Skipped SAT: XML not well-formed/XSD-valid,"mismatched tag: line 761, column 2","mismatched tag: line 761, column 2"
is_nonrag,is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T00-01-13,deepseek-v3.2:cloud,Model Driven Engineering,Model Federation,context_conditioned,https://ollama.com,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T00-01-13.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T00-01-13.final.xml,14,,,,2791.863189935684,True,0,True,0,1,44.84,0.7269,0.7,0.7132,238,52,186,125,233,0.9615,0.979,0.0082,0.6,,,
is_nonrag,is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T01-31-03,deepseek-v3.2:cloud,Model Driven Engineering,Model Federation,context_conditioned,https://ollama.com,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T01-31-03.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T01-31-03.final.xml,14,,,,8671.973730325699,True,0,True,0,1,49.67,0.7942,0.7385,0.7653,311,65,246,126,307,0.9692,0.9871,0.0068,0.75,,,
is_nonrag,is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T10-33-54,deepseek-v3.2:cloud,Model Driven Engineering,Model Federation,context_conditioned,https://ollama.com,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T10-33-54.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T10-33-54.final.xml,14,,,,5445.482396364212,True,0,True,1,4,42.45,0.7478,0.7154,0.7312,230,58,172,126,226,0.9692,0.9826,0.0084,0.75,,,
is_nonrag,is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T13-00-44,deepseek-v3.2:cloud,Model Driven Engineering,Model Federation,context_conditioned,https://ollama.com,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T13-00-44.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T13-00-44.final.xml,14,,,,4219.4340925216675,True,0,True,0,6,40.59,0.73,0.6308,0.6767,237,48,189,126,233,0.9692,0.9831,0.0082,0.75,,,
is_nonrag,is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T14-46-35,deepseek-v3.2:cloud,Model Driven Engineering,Model Federation,context_conditioned,https://ollama.com,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T14-46-35.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T14-46-35.final.xml,14,,,,2644.3848221302032,True,0,True,0,1,50.73,0.8185,0.7923,0.8052,248,62,186,125,243,0.9615,0.9798,0.008,0.6,,,
is_nonrag,is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T16-55-32,deepseek-v3.2:cloud,Model Driven Engineering,Model Federation,context_conditioned,https://ollama.com,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T16-55-32.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T16-55-32.final.xml,14,,,,3104.4595954418182,True,0,True,6,7,41.04,0.7637,0.6308,0.6909,237,66,171,126,233,0.9692,0.9831,0.0082,0.75,,,
is_nonrag,is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T18-16-30,deepseek-v3.2:cloud,Model Driven Engineering,Model Federation,context_conditioned,https://ollama.com,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T18-16-30.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T18-16-30.final.xml,14,,,,5457.355362415314,True,0,True,0,6,46.87,0.7121,0.7077,0.7099,257,60,197,126,253,0.9692,0.9844,0.0078,0.75,,,
is_nonrag,is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T20-25-47,deepseek-v3.2:cloud,Model Driven Engineering,Model Federation,context_conditioned,https://ollama.com,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T20-25-47.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T20-25-47.final.xml,14,,,,5138.740136861801,True,0,True,0,1,44.8,0.7543,0.7,0.7261,232,58,174,125,227,0.9615,0.9784,0.0112,0.8,,,
is_nonrag,is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T23-47-55,deepseek-v3.2:cloud,Model Driven Engineering,Model Federation,context_conditioned,https://ollama.com,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T23-47-55.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T23-47-55.final.xml,14,,,,4270.714390039444,True,0,True,0,6,50.89,0.7679,0.7692,0.7685,280,64,216,125,275,0.9615,0.9821,0.0074,0.6,,,
is_nonrag,is_nonrag_response_deepseek-v3.2-cloud_2026-03-22T02-29-59,deepseek-v3.2:cloud,Model Driven Engineering,Model Federation,context_conditioned,https://ollama.com,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_deepseek-v3.2-cloud_2026-03-22T02-29-59.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_deepseek-v3.2-cloud_2026-03-22T02-29-59.final.xml,14,,,,3022.7159225940704,True,0,True,0,25,42.48,0.8041,0.6846,0.7396,194,51,143,126,190,0.9692,0.9794,0.0093,0.75,,,
is_nonrag,is_nonrag_response_gemini-3-flash-preview_2026-03-01T16-01-08,gemini-3-flash-preview,Health_Equity_in_Education,Health-Equity-in-Education,context_conditioned,,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_gemini-3-flash-preview_2026-03-01T16-01-08.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_gemini-3-flash-preview_2026-03-01T16-01-08.final.xml,4,,,,205.35869932174683,True,0,True,0,1,16.95,0.622,0.3692,0.4634,82,31,51,130,82,1.0,1.0,0.0,,,,
is_nonrag,is_nonrag_response_gemini-3-pro-preview_2026-02-09T09-57-59,gemini-3-pro-preview,Model Driven Engineering,Model Federation,context_conditioned,,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_gemini-3-pro-preview_2026-02-09T09-57-59.meta.json,,14,,,,1034.039868593216,,,,,,,,,,,,,,,,,,,,,
