pipeline,model,domain,root_feature,runs_total,runs_with_xml,wellformed_rate,satisfiable_rate,coverage_score_mean,semantic_precision_mean,semantic_recall_mean,semantic_f1_mean,llm_duration_seconds_mean,feature_count_mean,abstract_feature_count_mean,concrete_feature_count_mean,dead_features_count_mean,core_features_count_mean,edge_jaccard_to_gt_mean,parent_match_rate_mean
is_nonrag,deepseek-v3.2:cloud,Model Driven Engineering,Model Federation,11,11,0.9091,1.0,45.436,0.762,0.7069,0.7327,4373.8284,246.4,58.4,188.0,0.7,5.8,0.0083,0.71
is_nonrag,gemini-3-flash-preview,Health_Equity_in_Education,Health-Equity-in-Education,1,1,1.0,1.0,16.95,0.622,0.3692,0.4634,205.3587,82.0,31.0,51.0,0.0,1.0,0.0,
is_nonrag,gemini-3-pro-preview,Model Driven Engineering,Model Federation,3,0,,,,,,,759.7211,,,,,,,
is_nonrag,gemini-3.1-pro-preview,Model Driven Engineering,Model Federation,5,5,1.0,1.0,49.214,0.733,0.78,0.7556,857.9941,205.0,49.4,155.6,0.0,1.0,0.0115,0.7
is_nonrag,glm-4.7:cloud,Model Driven Engineering,Model Federation,10,10,1.0,1.0,57.694,0.7446,0.8392,0.7889,6464.0022,369.7,72.7,297.0,0.0,9.7,0.0071,0.5338
is_nonrag,gpt-4.1,Health_Equity_in_Education,Health-Equity-in-Education,2,1,0.0,,10.39,0.5,0.2231,0.3085,125.7442,58.0,22.0,36.0,,,0.0,
is_nonrag,gpt-4.1,Model Driven Engineering,Model Federation,11,11,1.0,1.0,27.1855,0.8093,0.4692,0.5826,1288.5095,75.7273,16.8182,58.9091,0.0,1.0,0.0092,0.3818
is_nonrag,gpt-4o,Health_Equity_in_Education,Health-Equity-in-Education,1,1,1.0,1.0,4.26,0.9583,0.1462,0.2536,51.92,24.0,9.0,15.0,0.0,1.0,0.0,
is_nonrag,gpt-oss:120b-cloud,Health_Equity_in_Education,Health-Equity-in-Education,1,1,1.0,1.0,10.6,0.4559,0.2692,0.3385,152.0638,68.0,16.0,52.0,0.0,1.0,0.0,
is_nonrag,gpt-oss:120b-cloud,Model Driven Engineering,Model Federation,22,20,0.95,1.0,28.933,0.7934,0.4912,0.5931,1491.0441,102.5,30.4,72.1,0.0,1.0,0.0126,0.5484
is_nonrag,unknown,Model Driven Engineering,Model Federation,3,0,,,,,,,914.2156,,,,,,,
is_rag,deepseek-v3.2:cloud,Model Driven Engineering,Model Federation,25,25,0.88,1.0,40.0623,0.7638,0.6612,0.7081,2891.4674,153.8636,39.1364,114.7273,0.0,5.4091,0.011,0.7205
is_rag,gemini-3-pro-preview,Model Driven Engineering,Model Federation,3,3,0.0,,,,,,255.1214,,,,,,,
is_rag,gemini-3.1-pro-preview,Model Driven Engineering,Model Federation,5,5,1.0,1.0,42.728,0.7831,0.6831,0.7288,566.8306,133.4,20.8,112.6,0.0,5.4,0.0147,0.79
is_rag,glm-4.7:cloud,Model Driven Engineering,Model Federation,23,23,0.8696,1.0,47.6641,0.7701,0.7458,0.7569,4074.4201,231.4545,39.9091,191.5455,0.0,1.2,0.0096,0.7366
is_rag,gpt-4.1,Model Driven Engineering,Model Federation,10,10,1.0,1.0,36.916,0.8107,0.5654,0.6658,770.919,126.9,26.8,100.1,0.0,1.0,0.0154,0.795
is_rag,gpt-oss:120b-cloud,Model Driven Engineering,Model Federation,23,23,0.8696,1.0,43.7162,0.7889,0.6421,0.6998,1462.9085,159.5238,38.6667,120.8571,0.0,1.0,0.0155,0.5205
ss_nonrag,deepseek-v3.2:cloud,Model Driven Engineering,Model Federation,40,40,0.8,1.0,29.9172,0.8266,0.4915,0.6136,297.9457,67.5,18.6667,48.8333,0.0,2.6562,0.0217,0.7243
ss_nonrag,gemini-3-pro-preview,Model Driven Engineering,Model Federation,20,20,0.0,,,,,,21.3503,,,,,,,
ss_nonrag,gemini-3.1-pro-preview,Model Driven Engineering,Model Federation,20,20,0.0,,23.2935,0.859,0.4119,0.5557,22.2476,50.2,16.65,33.55,,,0.0182,0.76
ss_nonrag,glm-4.7:cloud,Model Driven Engineering,Model Federation,54,54,0.2593,1.0,22.607,0.8447,0.3914,0.5339,128.5123,39.4884,14.2791,25.2093,0.0,7.8571,0.0189,0.6376
ss_nonrag,gpt-4.1,Model Driven Engineering,Model Federation,40,40,0.45,1.0,25.765,0.8032,0.4396,0.5673,38.7796,52.3,10.65,41.65,0.0,1.0,0.0225,0.6734
ss_nonrag,gpt-oss:120b-cloud,Model Driven Engineering,Model Federation,42,42,0.7857,1.0,28.591,0.8095,0.4491,0.5733,42.3062,50.2381,16.5952,33.6429,0.0,2.2424,0.0201,0.5168
ss_rag,claude-opus-4-5,Model Driven Engineering,Model Federation,2,2,0.5,1.0,36.14,0.8625,0.5462,0.6688,53.2321,80.0,28.0,52.0,0.0,7.0,0.0145,0.75
ss_rag,claude-opus-4-6,Model Driven Engineering,Model Federation,2,2,0.0,,,,,,31.9652,,,,,,,
ss_rag,deepseek-v3.2:cloud,Model Driven Engineering,Model Federation,41,41,0.4634,1.0,28.6962,0.8858,0.456,0.6006,134.3231,39.5714,13.0476,26.5238,0.0,1.8947,0.0254,0.7265
ss_rag,gemini-3-flash-preview,Model Driven Engineering,Model Federation,1,1,0.0,,,,,,13.2536,,,,,,,
ss_rag,gemini-3-pro-preview,Model Driven Engineering,Model Federation,14,14,0.0,,21.22,0.8271,0.3884,0.5284,23.9672,35.5,12.0,23.5,,,0.0185,0.75
ss_rag,gemini-3.1-pro-preview,Model Driven Engineering,Model Federation,40,40,0.45,1.0,22.7045,0.8658,0.386,0.5327,16.5107,29.975,9.075,20.9,0.0,1.5,0.0204,0.7354
ss_rag,glm-4.7:cloud,Model Driven Engineering,Model Federation,40,40,0.6,1.0,27.7277,0.8766,0.4769,0.6168,156.6799,48.9429,15.6286,33.3143,0.0,2.0,0.0181,0.6871
ss_rag,gpt-4.1,Model Driven Engineering,Model Federation,21,21,1.0,1.0,33.5948,0.9253,0.5073,0.6549,33.0842,51.4286,12.0,39.4286,0.0,1.0,0.0212,0.7167
ss_rag,gpt-oss:120b-cloud,Model Driven Engineering,Model Federation,41,41,0.8293,1.0,38.4627,0.8646,0.5636,0.6792,57.6672,63.4146,19.9268,43.4878,0.0,2.6765,0.0275,0.7002
ss_rag,unknown,Model Driven Engineering,Model Federation,4,4,0.5,1.0,29.1733,0.904,0.4564,0.6042,64.5041,48.6667,15.0,33.6667,0.0,3.5,0.0187,0.5167
